"Id","Last"
405,2333521433367183360
564,7121453984059539456
919,2333521433367183360
1090,2333521433367183360
1467,5.25893003079215e+20
2190,258802713817
2445,102334151
2486,7121453984059539456
2592,45430672644283920
2622,1385073464128573
2630,1e+24
2730,1.0425509973802e+23
2847,283726776524341248
3249,387038978271084544
3670,76069501249
4063,2.751463424e+22
4107,5.25893003079215e+20
4201,486388759756013568
4232,3.51829430966702e+23
4390,817138163597
4796,1.74176931698902e+21
5298,5.25893003079215e+20
5701,6.31152394264439e+21
5724,216212831973523264
5980,3.44064e+19
6210,347246723858432
6212,1.74176931698902e+21
6295,19599665578316398592
6880,3.44064e+19
7878,1.74176931698902e+21
8059,4738755972544002
8078,3.44064e+19
8116,66484134834183
8406,22223125764941224
8474,19599665578316398592
8484,5.27971447506833e+21
8784,1.06338239662793e+37
9040,7121453984059539456
9058,6.31152394264439e+21
9257,3.44064e+19
9623,8809310487721984
10281,985814636660340
10439,3151406236448593
10452,3.51829430966702e+23
10689,1
10759,11263976658481
11611,19599665578316398592
11798,2333521433367183360
11822,10396095346638848
12086,367604681920575
12252,5.27971447506833e+21
12398,439197302
12649,956722026041
12921,172535142544
12933,165580141
13647,3.68456532867889e+22
14308,2333521433367183360
15178,144115188074807296
15230,1
15685,7753327130544
15729,2.41785163922926e+24
16109,2.80560925200794e+52
16235,326166312572943
16440,3.44064e+19
16758,6
17170,4.58722438847286e+24
17445,6.31152394264439e+21
17480,28564300215372
18280,3.89595234836746e+22
19556,2.751463424e+22
19784,6690722212434805
19983,1.0425509973802e+23
20769,448581262028446
21030,206804483710406720
22182,1070898946784974
22509,160500643816367072
22737,3.89595234836746e+22
22937,1812916028881
22960,1.29865078278915e+22
22975,37889062373143904
23021,1.74176931698902e+21
23171,23058430091063197696
23399,13397386067968
23734,94116041192395664
23881,50232675105233240
24742,2333521433367183360
24819,5.90295810358706e+20
24862,3.44064e+19
25195,50048372358250496
25785,123795560793916448
25868,5.25893003079215e+20
25948,5.25893003079215e+20
26101,10472279279564024
26102,3.24662695697288e+21
26649,2.751463424e+22
26812,342273571680157696
26873,2333521433367183360
27005,1688495240694988800
27086,450283905503576896
27281,23416728348467688
27801,316577148534129
27820,387497934832825
27938,-1
28322,2472169789339635
28466,7121453984059539456
28603,576460752303423488
28881,5.25893003079215e+20
29737,6.31152394264439e+21
29903,1.74176931698902e+21
30447,6312656052202
30455,6.31152394264439e+21
30475,217101168911581088
30968,909103725543424
31029,99194853094755488
31494,5.25893003079215e+20
32486,2470433131948081
33520,101302819786919520
33746,1.0425509973802e+23
33925,1109305553370218496
35058,7.08354972430447e+22
35174,1.17064536077509e+23
36025,1.4310188928884e+20
36077,23190118126806016
36156,347675356617867264
37272,216202138520378
37409,3.44064e+19
38042,3.2768e+19
38154,7179637555199
38218,6e+17
38420,5.27971447506833e+21
38515,2.751463424e+22
39574,1182723429077563
40469,9.64797292281745e+28
40489,26513402104001
40855,102334160
40876,86267571273
41068,1059305553370218496
41198,64051194700380384
41200,48074080083127
41500,2333521433367183360
42361,1.98070406285661e+28
42512,873430010034205
42581,256501494231072768
42641,21936950640377728
43078,9.13438523331814e+46
43412,19599665578316398592
43723,102334159
44276,296632634953
44425,373628823992059
45001,83296356199
45462,2998506940656648192
45614,7121453984059539456
45847,13788225815767
45981,3.51829430966702e+23
46180,35740566642812256256
46409,311048798676007
46761,172466877516588
46845,539866900838416384
47068,1479068428940476416
47830,102334157
48468,1e+23
48877,10967965641376
49356,1198855185236260
49419,43116719379147
50035,26284460772748
50362,1.62e+19
50632,1592774664844140544
50662,8626444678447232
50898,577494182698496
51447,2228380720066368
51529,32687201820007
51628,1235216565974039
51641,5.25893003079215e+20
52025,1.0425509973802e+23
52563,11398895185373124
52931,5.25893003079215e+20
53141,371198523608647
53181,2832219687887917
53779,57611945197
53785,7778742048
54116,3.89595234836746e+22
54801,60
54867,2.097152e+27
54873,1.4310188928884e+20
55149,506641703733035008
55667,2.68435456e+22
57034,6.8440034007706e+19
57391,37252902984619128
57675,3.44064e+19
57851,24159798
57929,1
57931,19599665578316398592
58475,12
58543,1.74176931698902e+21
58978,40081928063
59145,16944503814015854
59182,3.51829430966702e+23
59537,24595658764588154880
60371,19599665578316398592
60632,45000000000000262144
60836,62
61829,14472334024676220
61940,33791929975443
61948,1.74176931698902e+21
62053,6.31152394264439e+21
62321,5.25893003079215e+20
62766,111289829815047
63179,5.70899077082384e+45
63395,25273159253327
63818,5883898457682801
64062,165580141
64221,1.74176931698902e+21
64395,14472334024676220
64995,1.74176931698902e+21
65554,1.74176931698902e+21
65985,1374423462283783
66164,51370141431701
66987,19599665578316398592
67666,5.25893003079215e+20
67724,5454979121614422016
67729,1.20892581961463e+24
68011,5.25893003079215e+20
68261,7121453984059539456
68339,605447028499293824
68455,3
68527,32730226951263879168
68774,1.82059119829943e+21
68992,14282150107682
69772,5.25893003079215e+20
70524,1.39379657490816e+42
70574,161129341280179
70584,3
70822,24
71308,7121453984059539456
72229,19599665578316398592
72411,203629237822555
72530,2131604965917661
73161,1.74176931698902e+21
73450,5.27971447506833e+21
73671,3.51829430966702e+23
73678,6.31152394264439e+21
73733,536042108460026880
74636,1.74176931698902e+21
74696,2139295485800
75697,1235216565974041
75858,6.11714102769027e+42
76227,3.51829430966702e+23
76825,4.0199887178406e+27
77167,165580143
77376,6472224534451830
77440,14380807639084032
77527,12345679012345676
78011,22
78201,6.31152394264439e+21
78347,474411605904392192
78583,6.31152394264439e+21
79109,7121453984059539456
79184,371198523608646
79408,5.25893003079215e+20
79710,610077594462920
80511,3.89595234836746e+22
80714,19599665578316398592
80721,7251643204095581
81297,1
81793,3.51829430966702e+23
82735,7121453984059539456
84109,8245803209280
84408,3529198628864
84885,2305843008139952128
84924,2333521433367183360
85263,507698828312979008
85278,13142230386374
85620,3
85911,5.27971447506833e+21
86451,1.23794003928538e+27
87250,436715005017102
87647,2.751463424e+22
88306,2.751463424e+22
88368,5.27971447506833e+21
89132,242523671422036
90305,118235146291604176
91482,5.55723240354285e+31
91522,187917426909946976
91780,1.0425509973802e+23
92592,1.0425509973802e+23
93316,18570300172353392
93411,21473191019519444
93906,335787024097
95195,3.44064e+19
95200,1.06338239662793e+37
95457,57222093861886720
95976,2170719335639016
96171,1e+17
96201,42731182342946896
96375,196679192563037
96396,477496023050283520
96578,3748133675820810240
96814,9
98051,1.0425509973802e+23
98249,19599665578316398592
98329,6
98703,4832877764608
98823,8.5056224998211e+39
99097,6.4e+17
99250,2.751463424e+22
99699,165580142
99826,225141952751788448
100287,1.0425509973802e+23
101145,3.89595234836746e+22
101460,18180865062035
101611,7121453984059539456
101655,164703072086692416
101781,101302819786919520
101787,2.751463424e+22
102031,847718631141214
102249,75977114840189648
102716,62113250390418
103028,500050779978334208
103489,6136556900352
103703,128825844462648
103893,6666666758292635648
104329,2.752512e+23
104658,-1
104895,91578731407360
105230,4928772907306
105300,280928500842496
106077,1.74176931698902e+21
106297,6
106519,1.0425509973802e+23
106819,2.38609294222222e+25
107550,3.51829430966702e+23
107694,7639424778862804
107846,9.44473296573929e+21
107855,2.751463424e+22
108063,5.27971447506833e+21
108094,3.44064e+19
108173,52
109315,1304969544928657
109906,1.0425509973802e+23
109982,8.11296384146067e+31
111139,2669934870003712
111530,-956722026041
111594,5.25893003079215e+20
111794,2600190307441
111849,5.25893003079215e+20
112372,3.51829430966702e+23
112805,6325939728024735
113765,19599665578316398592
113907,420196140727489664
114203,1050662447078993792
114382,151949084833473856
115352,4339596708760
115359,1244544764462497792
116116,3.89595234836746e+22
116348,3.52347323194959e+45
116464,150094635296998944
117252,2333521433367183360
117624,18
117655,5.25893003079215e+20
118643,206376309488120832
118695,2.751463424e+22
119209,183648021600
120182,5.27971447506833e+21
120252,5.25893003079215e+20
120398,6.62473726694924e+24
120644,2.751463424e+22
121177,2222142093424997
121304,6.31152394264439e+21
122229,259717522849
122380,50894114073
122621,999999999999737856
122651,748146017173504
122692,3428578511656497
122870,111257242065436672
123431,5912880922624
123609,3.89595234836746e+22
123860,1554196550868289
124157,165580142
124326,5.5e+18
124662,573949830547618752
125156,11263976658481
125781,12823757083544786
125820,3.44064e+19
125992,7121453984059539456
126213,599949701428456448
127143,6.31152394264439e+21
127317,20000273725560976
127470,28530745405356339200
127908,4
128044,252158874925
128060,600378541187996416
128257,13501121791662579712
128594,12360848946698170
129008,288230376151187456
129223,19599665578316398592
130386,44560482150
130861,1.18059162068305e+21
131775,2.751463424e+22
131920,58
132963,3.44064e+19
133128,740629643316428800
133546,102334158
134632,7121453984059539456
134769,7.33699803838462e+20
134976,42
135724,3416454622906706
135847,23632681472398
135961,2512509524008
136062,1.74176931698902e+21
136693,183870090903552
136951,71631910824649560
137209,1.0425509973802e+23
137349,3.51829430966702e+23
137372,16944503814015856
137603,70710087174
137752,324259173170675712
138427,7639424778862810
138457,1.23540117027461e+20
139369,5e+17
140428,7121453984059539456
141220,2.751463424e+22
141562,1.00000000001e+20
141645,15386878263121
141702,49966575152
141871,768614336404914176
142067,165570737528635392
142631,1.0425509973802e+23
142892,2.751463424e+22
142999,3.89595234836746e+22
143203,3
143399,127979435624958
143729,-2627929735167
144299,2.36118324140046e+21
144345,4208437368135
144649,493907598828348288
145151,175075112634
145207,32361122672259148
145773,3.89595234836746e+22
145957,5.25893003079215e+20
145994,14
